Published,Use Case,Title,Link,Language
10/13/2020,"Urban planning","GPU-Accelerated Data Science: Find a Parking Spot with SQL",https://www.youtube.com/watch?v=qmX0H3bkR48&t=2092s,English
10/20/2020,"Urban planning","Ciencia de Datos Acelerada con GPUs: Buscar Estacionamiento con SQL",https://www.youtube.com/watch?v=X3WxOieweD8,Spanish
